"Date","Calories.Burned","Steps","Distance","Floors","Minutes.Sedentary","Minutes.Lightly.Active","Minutes.Fairly.Active","Minutes.Very.Active","Activity.Calories","Week.Day"
"2014-07-16","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-07-17","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-07-18","1,821","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-07-19","1,820","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-07-20","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-07-21","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-07-22","1,821","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-07-23","1,820","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-07-24","1,820","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-07-25","1,821","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-07-26","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-07-27","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-07-28","1,820","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-07-29","1,820","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-07-30","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-07-31","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-08-01","1,821","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-08-02","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-08-03","1,820","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-08-04","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-08-05","1,821","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-08-06","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-08-07","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-08-08","1,820","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-08-09","1,820","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-08-10","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
